envSteps,gradientSteps,totalReward,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,actorLoss,criticLoss,entropies,logprobs,advantages,criticValues
78000,7300,-34.782608695652634,11304.7388671875,11305.9423828125,-1.9342912435531616,0.7307608366012572,0.08527758717536926,0.7548049092292786,8.770549774169922,18.079015731811523,-0.0032926180865615606,-25.03970718383789
79000,7400,-20.962199312715192,11301.378515625,11303.6376953125,-2.869763135910034,0.6111077308654784,0.05116826668381691,0.11406010389328003,8.740795135498047,18.3666934967041,-0.003222764004021883,-28.158130645751953
80000,7500,20.99644128114047,11303.4361328125,11305.232421875,-2.515232563018799,0.7195652961730956,-0.03860144689679146,1.1142067909240723,7.918523788452148,19.739896774291992,-0.000754248583689332,-20.031038284301758
81000,7600,-20.57761732852068,11302.2681640625,11304.8125,-3.165844202041626,0.6218662500381469,0.02136024460196495,0.3042713701725006,8.83144760131836,19.7386417388916,-0.0018290738807991147,-26.267969131469727
82000,7700,-76.65369649805433,11301.9947265625,11303.841796875,-2.670902967453003,0.8239500761032104,0.10456784069538116,0.5744563341140747,8.759739875793457,19.230072021484375,-0.005850117187947035,-24.77440071105957
83000,7800,27.272727272726918,11301.312109375,11304.2587890625,-3.5833137035369873,0.6358521223068236,-0.03414105996489525,0.6656352877616882,8.744009971618652,20.076677322387695,0.0003777405363507569,-23.759540557861328
84000,7900,82.13058419243991,11302.0611328125,11304.47265625,-3.2000811100006104,0.7883665800094604,0.015188953839242458,0.08384709805250168,8.558470726013184,19.11440658569336,0.0013947038678452373,-28.87389373779297
85000,8000,12.359550561796548,11302.1431640625,11304.189453125,-2.7914652824401855,0.7443135023117065,-0.0068277460522949696,0.4936791658401489,8.389081001281738,19.20644187927246,-8.121979044517502e-05,-22.694055557250977
86000,8100,106.52173913043674,11300.0044921875,11302.8515625,-3.4463634490966797,0.599665069580078,0.11678748577833176,1.2185770273208618,8.888033866882324,19.24470329284668,-0.007276115473359823,-16.993541717529297
87000,8200,48.69888475836323,11303.0640625,11304.6298828125,-2.385303020477295,0.8198942184448241,-0.08278315514326096,0.47884419560432434,8.681157112121582,19.90564727783203,0.003930181264877319,-25.904409408569336
88000,8300,82.15613382899768,11302.1255859375,11304.2666015625,-2.830122470855713,0.6888007164001464,0.02660832181572914,0.42629632353782654,8.953690528869629,19.26190757751465,-0.0017322383355349302,-23.446685791015625
89000,8400,95.36423841059958,11303.1197265625,11305.1923828125,-2.9238710403442383,0.8514727592468261,-0.01254001073539257,0.7834684252738953,8.965665817260742,19.251102447509766,-0.000592588447034359,-23.290857315063477
90000,8500,45.27027027026953,11305.5064453125,11306.7880859375,-2.124663829803467,0.8436975717544555,-0.08767373114824295,0.9546619653701782,8.955121040344238,19.20534324645996,0.0040346854366362095,-19.356290817260742
91000,8600,181.78694158075803,11303.230078125,11305.5888671875,-3.2727246284484863,0.9132422447204589,-0.0008161538280546665,0.9398330450057983,8.97463607788086,20.55145835876465,-0.0006808778271079063,-18.50790786743164
92000,8700,169.89619377163075,11302.92734375,11305.2685546875,-3.1774613857269287,0.8362026453018188,0.007416007108986378,0.7484391331672668,9.031397819519043,20.56481170654297,-0.0004758002469316125,-19.303813934326172
93000,8800,-62.02531645569697,11305.5630859375,11307.1318359375,-2.526883125305176,0.9589306354522704,0.07670769840478897,1.1368896961212158,9.361607551574707,19.626081466674805,-0.005344595294445753,-7.795934677124023
94000,8900,16.54135338345842,11302.11875,11303.978515625,-2.755340099334717,0.8948301315307616,0.12485995888710022,0.9951481819152832,9.277918815612793,20.22941017150879,-0.007587974891066551,-10.353348731994629
95000,9000,73.9130434782604,11305.321875,11306.9169921875,-2.721222400665283,1.126274013519287,0.023788122460246086,1.3194327354431152,9.443541526794434,19.99840545654297,-0.0034259743988513947,-15.728759765625
96000,9100,69.01408450704542,11305.7505859375,11307.4306640625,-2.621328830718994,0.9414233207702636,0.07029388844966888,1.221317172050476,8.943198204040527,20.498043060302734,-0.003682337701320648,-7.726906776428223
97000,9200,-19.354838709677708,11306.9556640625,11307.1279296875,-1.3562421798706055,1.184055709838867,-0.28133851289749146,1.2366694211959839,9.494787216186523,19.851612091064453,0.014554988592863083,-16.45472526550293
98000,9300,41.84397163120886,11304.4185546875,11303.939453125,-0.4972325563430786,0.9757524967193603,-0.22966165840625763,1.690850019454956,9.03847885131836,20.145124435424805,0.008031017147004604,-10.635461807250977
99000,9400,-39.62264150943418,11301.2369140625,11302.5732421875,-2.3301305770874023,0.9939249992370605,-0.07073580473661423,1.3413894176483154,8.934306144714355,21.0087833404541,0.0027184418868273497,-14.909371376037598
100000,9500,-33.33333333333386,11306.2486328125,11306.9765625,-1.9591929912567139,1.2309545516967773,0.003781187115237117,1.0412415266036987,8.992354393005371,19.832134246826172,-0.0001521281519671902,-9.712449073791504
101000,9600,117.82178217822218,11311.7291015625,11311.5400390625,-1.294632077217102,1.4841844081878661,0.09691910445690155,1.1104013919830322,8.695415496826172,18.702253341674805,-0.003915328532457352,2.091052532196045
102000,9700,276.3440860215072,11305.823828125,11307.232421875,-2.5163793563842773,1.1081415653228759,-0.018901847302913666,1.198828101158142,8.636401176452637,18.571807861328125,0.0011236383579671383,-1.4623966217041016
103000,9800,364.02877697841143,11307.2681640625,11306.861328125,-0.89885413646698,1.3050607681274413,-0.006640444975346327,1.772416353225708,8.838385581970215,20.216964721679688,0.001807943219318986,8.566186904907227
104000,9900,275.8389261744998,11304.2408203125,11304.8193359375,-1.7811750173568726,1.2029675483703612,-0.06674924492835999,1.147843599319458,8.939826011657715,21.227975845336914,0.001286991871893406,7.3681793212890625
105000,10000,167.8571428571479,11305.0767578125,11306.40234375,-2.5108096599578857,1.1850451469421386,-0.06299058347940445,1.2304712533950806,9.015791893005371,20.320032119750977,0.0019506773678585887,4.757843017578125
106000,10100,203.2786885245935,11302.8013671875,11304.2265625,-2.622469186782837,1.197046661376953,0.043362945318222046,1.5074340105056763,8.89710807800293,21.723201751708984,-0.002743569202721119,2.4168872833251953
107000,10200,175.65982404692576,11306.3453125,11306.8818359375,-1.793426513671875,1.256178045272827,-0.09357768297195435,1.2618614435195923,8.957304000854492,20.42527198791504,0.0032049575820565224,2.869069814682007
108000,10300,123.82671480144836,11307.1001953125,11307.6806640625,-1.699290156364441,1.119095468521118,0.0019636210054159164,1.08856999874115,9.067556381225586,21.179275512695312,0.0002390464214840904,10.446541786193848
109000,10400,106.55737704918522,11306.8521484375,11307.986328125,-2.4640629291534424,1.3295933246612548,-0.03320646286010742,1.0566439628601074,8.918815612792969,21.194793701171875,0.0013782454188913107,9.085268020629883
110000,10500,50.537634408606046,11306.0171875,11306.1669921875,-1.594938039779663,1.444529914855957,-0.1718713641166687,1.3368757963180542,9.120800971984863,21.554767608642578,0.006898462772369385,10.329463005065918
111000,10600,250.5747126436818,11305.7525390625,11306.203125,-1.7634505033493042,1.3129638671875,0.04649849236011505,1.4292585849761963,9.250932693481445,21.985017776489258,-0.002507830271497369,15.798563003540039
112000,10700,56.36363636363496,11307.0513671875,11307.4072265625,-1.6374266147613525,1.281378412246704,-0.09593835473060608,1.2378475666046143,9.1448335647583,21.8558406829834,0.003287889063358307,20.00246238708496
113000,10800,190.73482428115295,11311.862890625,11311.6533203125,-1.3806477785110474,1.5903228759765624,0.020728806033730507,1.1725534200668335,9.245606422424316,21.52886390686035,-0.0012045325711369514,22.852136611938477
114000,10900,199.29577464789259,11309.9849609375,11309.2998046875,-1.141576886177063,1.8268293380737304,0.08022915571928024,1.588197112083435,9.127726554870605,21.711681365966797,-0.0037975201848894358,24.372102737426758
115000,11000,251.91637630661276,11311.554296875,11309.931640625,-0.22067275643348694,1.8431347846984862,-0.08919631689786911,1.1058118343353271,9.22455883026123,21.569595336914062,0.003524929517880082,30.08538246154785
116000,11100,362.04620462046057,11307.353125,11307.3701171875,-1.5406274795532227,1.5236617565155028,0.001962855225428939,1.225333333015442,9.346502304077148,22.47614860534668,-0.0008867366123013198,29.33582878112793
117000,11200,-24.901185770751784,11305.1841796875,11305.5263671875,-1.7761807441711426,1.434193992614746,-0.024668438360095024,1.6031615734100342,9.19266414642334,22.595491409301758,0.0006781762349419296,25.431964874267578
118000,11300,1.0101010101014625,11307.1099609375,11307.2998046875,-1.7497626543045044,1.5597092151641845,-0.05342632904648781,0.930971622467041,9.206467628479004,22.736244201660156,0.0014707274967804551,30.30191993713379
119000,11400,142.52491694352298,11310.0865234375,11309.275390625,-0.8822450637817383,1.6931289672851562,-0.059307049959897995,1.1410495042800903,9.237174034118652,22.50916862487793,0.0023284570779651403,33.3127326965332
120000,11500,388.88888888888266,11308.7837890625,11307.982421875,-0.7786977291107178,1.5801373958587646,0.006198147777467966,1.333034873008728,9.37612247467041,22.670989990234375,-0.0003519960446283221,32.7230339050293
